sample_id,source_stream_id,goal,recipe_name,target_global_idx,target_local_idx,target_action,matched_recipe_steps,matched_ingredients,num_actions,num_natural_noise_or_context,noise_fraction,local_context,keep_for_perturbation,rejection_reason,manual_notes
P01_R01_C01_W01,P01_R01_C01,prepare nespresso,Nespresso,23,23, Using the left hand press the button of the long coffee on the coffee machine.,Press the long coffee button,,49,25,0.5102,"CTX local=18 global=18 role=candidate_pivotal:  While the left hand is closing the milk bottle, the right hand presses the power button on the milk frother to start it on.
CTX local=19 global=19 role=recipe_context:  Pick up the milk bottle from its handle using the left hand.
CTX local=20 global=20 role=recipe_context:  Open the fridge.
CTX local=21 global=21 role=recipe_context:  Put down the milk bottle inside the fridge in the lower shelf of the door using the left hand.
CTX local=22 global=22 role=recipe_context:  Close the fridge.
TARGET local=23 global=23 role=candidate_pivotal:  Using the left hand press the button of the long coffee on the coffee machine.
CTX local=24 global=24 role=natural_noise_or_context:  Open the top drawer using the left hand.
CTX local=25 global=25 role=natural_noise_or_context:  Pick up the scissors from the drawer using the right hand.
CTX local=26 global=26 role=natural_noise_or_context:  Using the left hand, remove the plastic cover of the scissors. This action occurs at the periphery, quite off-screen.
CTX local=27 global=27 role=natural_noise_or_context:  Hold the mesh containing oranges using the left hand to free the space to cut it open. Using the right hand, open the scissors and cut the mesh to open it.
CTX local=28 global=28 role=natural_noise_or_context:  Using the left hand, pick up one orange from the mesh and place it to the left on the counter.",,,
P01_R01_C03_W01,P01_R01_C03,prepare nespresso,Nespresso,40,25,press the button on the coffee machine to start brewing coffee,Press the long coffee button,,51,24,0.4706,"CTX local=20 global=35 role=natural_noise_or_context: open the fridge
CTX local=21 global=36 role=natural_noise_or_context: put the milk bottle on the lower shelf of the door of the fridge holding the bottle from its handle with the left hand
CTX local=22 global=37 role=natural_noise_or_context: close the fridge
CTX local=23 global=38 role=natural_noise_or_context: pick up the cereal box from the upper shelf on top of the sink using the right hand pulling it slightly and then letting it drop into the hand
CTX local=24 global=39 role=natural_noise_or_context: open the box of cereal this action is off screen
TARGET local=25 global=40 role=candidate_pivotal: press the button on the coffee machine to start brewing coffee
CTX local=26 global=41 role=candidate_pivotal: Take a handful of cereal from inside the cardboard box by inserting the right hand inside the bag that is in the box and then shaking the box a little, picking up a handful of cereal from the box using the right hand. The box is being held with the left-hand.
CTX local=27 global=42 role=natural_noise_or_context: put the cereal into the bowl by positioning the hand filled with cereal on top of the bowl and then opening the grip of the hand so the cereal in the hand falls into the bowl
CTX local=28 global=43 role=natural_noise_or_context: take another handful of cereal from inside the box by inserting the right hand inside the bag that is in the box and then shaking the box a little, picking up a handful of cereal from the box using the right hand. The box is being held with the left-hand.

CTX local=29 global=44 role=natural_noise_or_context: put the cereal in the bowl by positioning the hand filled with cereal on top of the bowl and then opening the grip of the hand so the cereal in the hand falls into the bowl
CTX local=30 global=45 role=natural_noise_or_context: close the inner bag inside the cereal by inserting the hand in the box and folding the bag inside. This action is off screen but you can hear it",,,
P01_R01_C03_W02,P01_R01_C03,prepare nespresso,Nespresso,18,18,put the milk bottle on the countertop,,milk,44,18,0.4091,"CTX local=13 global=13 role=candidate_pivotal: place the coffee capsule inside the compartment of the coffee machine by positioning the hand on top of the compartment with the coffee capsule in hand and releasing the coffee capsule so it falls in place inside the compartment
CTX local=14 global=14 role=recipe_context: lock the coffee capsule inside the coffee machine by closing the compartment using the handle in the left hand by pulling it down and so the coffee capsule is locked in place
CTX local=15 global=15 role=recipe_context: pick up the milk bottle from the countertop holding it with the right hand from its handle
CTX local=16 global=16 role=recipe_context: open the milk bottle by holding the bottle with the right hand, holding the lid with the left hand and rotating the lid counterclockwise with the left hand.
CTX local=17 global=17 role=candidate_pivotal: pour milk from the milk bottle into the milk frother by positioning the milk bottle on top of the milk frother and tilting the bottle so water pours into the milk frother. The bottle of milk is being held with the right hand and the milk frother is just supported by its space on the counter top. The left hand is holding the lid of the milk bottle that has just been opened
TARGET local=18 global=18 role=candidate_pivotal: put the milk bottle on the countertop
CTX local=19 global=19 role=recipe_context: close the milk bottle by positioning the lid with the left hand on top of the milk bottle and rotating it clockwise the bottle is standing on the countertop
CTX local=20 global=20 role=recipe_context: try to start the milk frother by pressing the button on the outside using the right hand but it doesn't start because the plug is not in the socket
CTX local=21 global=21 role=recipe_context: plug the milk frother in the socket by picking up the plug from the countertop positioning it on the socket rightly and pushing in place with the right hand
CTX local=22 global=22 role=recipe_context: switch on the socket by pressing the button next to the plug with the right hand index
CTX local=23 global=23 role=recipe_context: turn on the milk frother by pressing the button on the outside using the right hand holding the milk frother with the right hand and pressing with the thumb",,,
P01_R01_C03_W03,P01_R01_C03,prepare nespresso,Nespresso,60,25,put the wooden stirrer inside the mug which contains coffee and frothed milk,Add the frothed milk into the coffee,,42,13,0.3095,"CTX local=20 global=55 role=recipe_context: move the mug on the countertop getting it closer to the edge and away from the coffee machine by holding the handle with the left hand and sliding slightly on the surface
CTX local=21 global=56 role=candidate_pivotal: pick up the milk frother from its base on the countertop using the right hand in doing so the button on it actually gets switched off so by lifting it actually the milk frother is switched off
CTX local=22 global=57 role=candidate_pivotal: hit the milk frother twice on the surface of the countertop using the right hand to steady the frothed milk inside it
CTX local=23 global=58 role=candidate_pivotal: pour the frothed milk from the milk frother into the mug holding the mug with the left hand while it's resting on the countertop and holding the milk frother with the right hand tilting it positioning it on top of the mug using the right hand
CTX local=24 global=59 role=candidate_pivotal: carefully allow the remaining frothed milk to be poured on the mug which is nearly filled by only very slowly tilting the milk frother
TARGET local=25 global=60 role=candidate_pivotal: put the wooden stirrer inside the mug which contains coffee and frothed milk
CTX local=26 global=61 role=unmapped: position the milk frother under the nozzle of the tap in the sink
CTX local=27 global=62 role=unmapped: open the tap
CTX local=28 global=63 role=unmapped: rinse the milk frother also using the right hand index to scrape its inner surface
CTX local=29 global=64 role=unmapped: close the tap
CTX local=30 global=65 role=unmapped: turn the milk frother upside down to empty the water inside it",,,
P01_R04_C01_W01,P01_R04_C01,prepare sfesiha (lebanese meat pies),Sfesiha (Lebanese Meat Pies),569,25,Stir the meat in the pan by turning it upside down and also moving the wooden spoon inside the meat.,"STUFFING. Start preparing the meat stuffing. Sweat one chopped onion in a pot, for a few minutes and then add minced garlic, then place the meat in the pot and on high heat while continuing stirring let the meat cook until the red color turns into more brownish, the idea here is not to fully cook the meat, but perhaps to get all the water out, this will help to get rid of all the water residue that comes out of the meat so it can help the meat stick to the dough while baking.",,51,22,0.4314,"CTX local=20 global=564 role=natural_noise_or_context: Shake the peeler on top of the tupperware to get rid of some of the stuck peel to it.
CTX local=21 global=565 role=natural_noise_or_context: Reach into the bag of carrots to get the next carrot, then look back at the meat.
CTX local=22 global=566 role=recipe_context: Pick up the lid of the pan using the left hand. You can see steam coming out of the meat being cooked.
CTX local=23 global=567 role=recipe_context: pick up the wooden spoon using the right hand. This action is mostly off screen, only its shadow is visible.
CTX local=24 global=568 role=recipe_context: Place the lid onto the other pan on the hob, again in an effort to not let the steam in the pan drip on any surface.
TARGET local=25 global=569 role=candidate_pivotal: Stir the meat in the pan by turning it upside down and also moving the wooden spoon inside the meat.
CTX local=26 global=570 role=candidate_pivotal: Rest the wooden spoon on the pan and the meat.
CTX local=27 global=571 role=candidate_pivotal: pick up the mug containing chicken stock after dissolving the stock cube into the water from the countertop next to the hob.
CTX local=28 global=572 role=candidate_pivotal: Pour the stock from the mug to the pan by holding the mug on top of the pan and tilting it for the liquid inside it to pour into the pan and moving the mug around while doing so to spread the water around the pan.
CTX local=29 global=573 role=candidate_pivotal: Put down the empty mug on the countertop, discarding it.
CTX local=30 global=574 role=candidate_pivotal: pick up the wooden spoon that was resting on the pan.",,,
P01_R04_C01_W02,P01_R04_C01,prepare sfesiha (lebanese meat pies),Sfesiha (Lebanese Meat Pies),504,25,Hit the wooden spoon on the rim of the pan to drop any content from the pan stuck to it.,"STUFFING. Start preparing the meat stuffing. Sweat one chopped onion in a pot, for a few minutes and then add minced garlic, then place the meat in the pot and on high heat while continuing stirring let the meat cook until the red color turns into more brownish, the idea here is not to fully cook the meat, but perhaps to get all the water out, this will help to get rid of all the water residue that comes out of the meat so it can help the meat stick to the dough while baking.",,51,19,0.3725,"CTX local=20 global=499 role=recipe_context: move a plate on the countertop closer to the hob. This plate will be used to support the wooden spoon instead of the wall.
CTX local=21 global=500 role=recipe_context: Lift the lid off the pan using the left hand.
CTX local=22 global=501 role=candidate_pivotal: Place the lid onto another pan on another burner on the hob temporarily. Placing it there will allow any vapor on it to fall onto the pan as opposed to onto the hob or any other surface.
CTX local=23 global=502 role=candidate_pivotal: Stir the content of the pan using the motions of slicing the pieces into smaller pieces and turning the cooked meat at the bottom at the top, allowing the meat at the top to get closer to the pan multiple times until all the content has been mixed.
CTX local=24 global=503 role=candidate_pivotal: adjust the heat on the hob by turning the knob using the left hand counterclockwise, lowering the heat.
TARGET local=25 global=504 role=candidate_pivotal: Hit the wooden spoon on the rim of the pan to drop any content from the pan stuck to it.
CTX local=26 global=505 role=recipe_context: Put the wooden spoon on the plate to the right of the hob as the spoon is dirty. The plate will be supporting the spoon.
CTX local=27 global=506 role=recipe_context: Lift the lid off the other pan.
CTX local=28 global=507 role=recipe_context: Cover the pan with meat using the lid again to continue cooking it.
CTX local=29 global=508 role=recipe_context: Pick up the knife from the chopping board.
CTX local=30 global=509 role=recipe_context: Using the knife, slide the peel of the garlic to the left of the chopping board, emptying some space on the board.",,,
P01_R04_C01_W03,P01_R04_C01,prepare sfesiha (lebanese meat pies),Sfesiha (Lebanese Meat Pies),602,25,"Stir the content of the pan, mixing the spice with the meat, using the wooden spoon, moving all the meat and the spices around to mix fully, in all directions.","STUFFING. Start preparing the meat stuffing. Sweat one chopped onion in a pot, for a few minutes and then add minced garlic, then place the meat in the pot and on high heat while continuing stirring let the meat cook until the red color turns into more brownish, the idea here is not to fully cook the meat, but perhaps to get all the water out, this will help to get rid of all the water residue that comes out of the meat so it can help the meat stick to the dough while baking.",,51,16,0.3137,"CTX local=20 global=597 role=candidate_pivotal: Turn the lid upside down, place it on the jar and close the jar by rotating the lid clockwise using the left hand.
CTX local=21 global=598 role=recipe_context: Open the cupboard.
CTX local=22 global=599 role=recipe_context: Return the closed jar onto the lower shelf of the cupboard using the right hand.
CTX local=23 global=600 role=recipe_context: Close the cover, this action is off screen.
CTX local=24 global=601 role=candidate_pivotal: Pick up the wooden spoon from the plate.
TARGET local=25 global=602 role=candidate_pivotal: Stir the content of the pan, mixing the spice with the meat, using the wooden spoon, moving all the meat and the spices around to mix fully, in all directions.
CTX local=26 global=603 role=recipe_context: Hit the wooden spoon against the rim of the pan to drop any meat that stuck to it, rotating it a few times 180 degrees while hitting.
CTX local=27 global=604 role=recipe_context: Put the wooden spoon on the plate.
CTX local=28 global=605 role=recipe_context: pick up the lid from the other burner using the left hand.
CTX local=29 global=606 role=recipe_context: Cover the pan with the meat with the lid so it continues cooking.
CTX local=30 global=607 role=recipe_context: Open the tap.",,,
P01_R05_C01_W01,P01_R05_C01,prepare lazy cake recipe,Lazy Cake Recipe,427,25,"Hold the wooden spoon and stir the content of the pot, ensuring it's fully homogeneous now, and nothing is stuck on the sides of the pot.","Start by mixing the melted butter, sweetened condensed milk with the cocoa powder. Combine them really well together, but it's okay if there are a few small lumps.",,51,12,0.2353,"CTX local=20 global=422 role=recipe_context: put the scale away on the countertop, further from the working space.
CTX local=21 global=423 role=recipe_context: Open the second drawer.
CTX local=22 global=424 role=recipe_context: Pick up the large chopping board from the second drawer, moving the pile on top of it, that is the smaller chopping board, strainer and ladle, and pulling it out from under this pile using the right hand.
CTX local=23 global=425 role=recipe_context: Close the drawer. This action is mostly off screen.
CTX local=24 global=426 role=recipe_context: Put the large chopping board on the countertop next to the bowl with the crushed biscuits.
TARGET local=25 global=427 role=candidate_pivotal: Hold the wooden spoon and stir the content of the pot, ensuring it's fully homogeneous now, and nothing is stuck on the sides of the pot.
CTX local=26 global=428 role=candidate_pivotal: Hit the wooden spoon against the rim of the pot to drop any of the sauce from it into the pot.
CTX local=27 global=429 role=candidate_pivotal: Wait for the sauce to boil.
CTX local=28 global=430 role=candidate_pivotal: adjust the heat slightly increasing it by rotating the dial a little bit clockwise.
CTX local=29 global=431 role=candidate_pivotal: Rest the wooden spoon on the pot.
CTX local=30 global=432 role=natural_noise_or_context: Pick up the spatula from the plate next to the hob.",,,
P01_R05_C01_W02,P01_R05_C01,prepare lazy cake recipe,Lazy Cake Recipe,447,25,Hit the wooden spoon once against the edge of the pot.,"Start by mixing the melted butter, sweetened condensed milk with the cocoa powder. Combine them really well together, but it's okay if there are a few small lumps.",,51,12,0.2353,"CTX local=20 global=442 role=natural_noise_or_context: Cover the pot again using the lid.
CTX local=21 global=443 role=natural_noise_or_context: Put the spatula on the plate on the countertop.
CTX local=22 global=444 role=candidate_pivotal: Hold the wooden spoon that's resting on the pot of the chocolate sauce again and stir the content of the pot using the right hand in circular motions.
CTX local=23 global=445 role=candidate_pivotal: Hit the wooden spoon on the edge of the pot to drop any of the sauce into the pot.
CTX local=24 global=446 role=candidate_pivotal: Continue mixing the content of the pot, particularly focusing on the edges.
TARGET local=25 global=447 role=candidate_pivotal: Hit the wooden spoon once against the edge of the pot.
CTX local=26 global=448 role=candidate_pivotal: Stir the content of the pot again.
CTX local=27 global=449 role=candidate_pivotal: Hit the wooden spoon against the edge of the pot once.
CTX local=28 global=450 role=candidate_pivotal: Mix the content of the pot again using the wooden spoon.
CTX local=29 global=451 role=candidate_pivotal: Turn off the hob by holding the dial with the left hand and rotating it clockwise to turn off the heat. The chocolate sauce is now ready.
CTX local=30 global=452 role=candidate_pivotal: Hit the wooden spoon against the rim of the pot twice.",,,
P01_R06_C01_W01,P01_R06_C01,prepare carrot soup,Carrot Soup,703,25,Stir the content of the soup only slightly.,"Heat butter in a pot over medium heat until the butter melts. Add onion; cook, stirring occasionally, until softened, 4 to 6 minutes. Stir in carrots and mix until properly coated. Add water and broth; bring to a lively simmer over high heat.  Reduce heat to maintain a lively simmer and cook until very tender, about 25 minutes.",,51,39,0.7647,"CTX local=20 global=698 role=natural_noise_or_context: Wait for the sauce to boil.
CTX local=21 global=699 role=natural_noise_or_context: adjust the heat slightly increasing it by rotating the dial a little bit clockwise.
CTX local=22 global=700 role=natural_noise_or_context: Rest the wooden spoon on the pot.
CTX local=23 global=701 role=recipe_context: Pick up the spatula from the plate next to the hob.
CTX local=24 global=702 role=recipe_context: Lift the lid off the pot with carrot soup and hold the lid on top of the pot so any condensed water will fall back into the pot using the left hand.
TARGET local=25 global=703 role=candidate_pivotal: Stir the content of the soup only slightly.
CTX local=26 global=704 role=candidate_pivotal: Pick up one piece of carrot from the pot using the spatula, resting the piece on the spatula's edge to pick it up.
CTX local=27 global=705 role=candidate_pivotal: Place the piece of carrot on the plate, dropping it from the spatula.
CTX local=28 global=706 role=candidate_pivotal: Cover the pot again using the lid.
CTX local=29 global=707 role=candidate_pivotal: break the piece of carrot using the spatula's edge into pieces to check how cooked the piece is.
CTX local=30 global=708 role=candidate_pivotal: Return the three broken pieces of the carrot onto the spatula using the left hand, pushing them with the finger back onto the spatula to return them to the pot.",,,
